,FireplaceQu,GarageQual,SalePrice
1326,,,79000
1327,Ex,TA,130500
1328,TA,Fa,256000
1329,TA,TA,176500
1330,Gd,TA,227000
1331,,TA,132500
1332,Gd,Fa,100000
1333,,TA,125500
1334,,TA,125000
1335,TA,TA,167900
1336,,TA,135000
1337,,,52500
1338,,TA,200000
1339,,TA,128500
1340,,TA,123000
1341,,TA,155000
1342,Gd,TA,228500
1343,TA,Fa,177000
1344,TA,TA,155835
1345,,TA,108500
1346,Gd,Gd,262500
1347,Gd,TA,283463
1348,Fa,TA,215000
1349,,,122000
1350,,TA,200000
1351,Gd,TA,171000
1352,,TA,134900
1353,Ex,TA,410000
1354,TA,TA,235000
1355,TA,TA,170000
1356,,TA,110000
1357,Fa,TA,149900
1358,,TA,177500
1359,Gd,TA,315000
1360,,TA,189000
1361,Gd,TA,260000
1362,Gd,TA,104900
1363,Gd,TA,156932
1364,,TA,144152
1365,,TA,216000
1366,,TA,193000
1367,TA,TA,127000
1368,,TA,144000
1369,TA,TA,232000
1370,,TA,105000
1371,TA,TA,165500
1372,TA,TA,274300
1373,Gd,TA,466500
1374,Gd,TA,250000
1375,Gd,TA,239000
1376,,Fa,91000
1377,,TA,117000
1378,,TA,83000
1379,,TA,167500
1380,,TA,58500
1381,Gd,TA,237500
1382,,TA,157000
1383,,TA,112000
1384,,TA,105000
1385,,TA,125500
1386,TA,TA,250000
1387,Gd,TA,136000
1388,Gd,TA,377500
1389,Gd,TA,131000
1390,,TA,235000
1391,,TA,124000
1392,Po,TA,123000
1393,TA,Gd,163000
1394,Gd,TA,246578
1395,Gd,TA,281213
1396,TA,TA,160000
1397,,Fa,137500
1398,,TA,138000
1399,Gd,Fa,137450
1400,Gd,TA,120000
1401,TA,TA,193000
1402,Gd,TA,193879
1403,,TA,282922
1404,,TA,105000
1405,Gd,TA,275000
1406,,TA,133000
1407,,,112000
1408,,TA,125500
1409,TA,TA,215000
1410,,TA,230000
1411,,TA,140000
1412,,TA,90000
1413,Gd,TA,257000
1414,Gd,TA,207000
1415,TA,TA,175900
1416,,TA,122500
1417,TA,TA,340000
1418,,TA,124000
1419,TA,TA,223000
1420,TA,TA,179900
1421,Fa,TA,127500
1422,,TA,136500
1423,Gd,Gd,274970
1424,TA,TA,144000
1425,,TA,142000
1426,TA,TA,271000
1427,TA,TA,140000
1428,Gd,TA,119000
1429,TA,TA,182900
1430,Gd,TA,192140
1431,,TA,143750
1432,,Fa,64500
1433,TA,TA,186500
1434,Gd,TA,160000
1435,Gd,TA,174000
1436,,TA,120500
1437,Gd,TA,394617
1438,,TA,149700
1439,TA,TA,197000
1440,Gd,TA,191000
1441,TA,TA,149300
1442,Ex,TA,310000
1443,Gd,Fa,121000
1444,,TA,179600
1445,,TA,129000
1446,,TA,157900
1447,TA,TA,240000
1448,,Fa,112000
1449,,,92000
1450,,,136000
1451,Gd,TA,287090
1452,,TA,145000
1453,,,84500
1454,,TA,185000
1455,TA,TA,175000
1456,TA,TA,210000
1457,Gd,TA,266500
1458,,TA,142125
1459,,TA,147500
